Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.741211,278.790450,0.007000,7
476.728516,492.129421,0.007000,7
458.886719,784.795761,0.007000,7
433.574219,1090.740585,0.006000,6
407.050781,1330.559921,0.014000,14
376.582031,1597.985458,0.005000,5
344.946289,1925.973678,0.006000,6
312.451172,2328.562069,0.004000,4
274.218750,2452.807617,0.006000,6
235.400391,2594.273281,0.005000,5
198.984375,2771.624756,0.004000,4
162.431641,2589.106655,0.004000,4
162.431641,2589.106655,0.004000,4
String tested,Total calculation time(milis)
WRynAoIrxu,103
