Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.741211,278.790450,0.007000,7
476.899414,523.735976,0.004000,4
456.962891,906.889248,0.004000,4
430.400391,1432.554531,0.005000,5
398.837891,1936.540127,0.004000,4
363.671875,2607.122803,0.005000,5
323.364258,2934.336066,0.005000,5
280.869141,3263.502407,0.005000,5
235.517578,3334.497738,0.004000,4
189.619141,3185.597134,0.005000,5
147.416992,3198.552680,0.006000,6
147.416992,3198.552680,0.006000,6
String tested,Total calculation time(milis)
WRynAoIrxu,79
