Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
489.594727,291.681457,0.017000,17
476.508789,485.223556,0.006000,6
459.711914,782.192397,0.008000,8
432.587891,1077.384853,0.009000,9
408.144531,1421.850204,0.019000,19
377.163086,1809.481215,0.006000,6
343.959961,2028.019881,0.006000,6
308.461914,2318.679214,0.005000,5
270.908203,2456.597042,0.005000,5
231.171875,2434.759521,0.004000,4
195.942383,2612.002540,0.009000,9
159.169922,2311.029720,0.007000,7
126.850586,2305.559707,0.008000,8
126.850586,2305.559707,0.008000,8
String tested,Total calculation time(milis)
kBcpJtaHSO,136
