Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.519531,361.620712,0.007000,7
522.675781,618.230820,0.007000,7
501.137695,1048.754478,0.008000,8
472.758789,1589.605880,0.008000,8
438.691406,2263.131332,0.019000,19
401.430664,2836.966872,0.007000,7
357.587891,3325.724697,0.007000,7
310.883789,3805.322433,0.005000,5
259.008789,3807.171798,0.005000,5
210.117188,3782.701111,0.005000,5
210.117188,3782.701111,0.005000,5
String tested,Total calculation time(milis)
ImDNfLbXCGx,98
