Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.631836,360.260940,0.006000,6
522.705078,616.705990,0.005000,5
502.124023,903.056884,0.005000,5
476.245117,1188.000464,0.005000,5
448.164062,1622.117615,0.017000,17
414.624023,1960.405517,0.005000,5
378.808594,2222.799301,0.005000,5
340.737305,2469.817710,0.005000,5
304.091797,2636.186886,0.006000,6
264.990234,2654.882717,0.004000,4
224.106445,2601.642966,0.004000,4
186.381836,2715.766311,0.005000,5
186.381836,2715.766311,0.005000,5
String tested,Total calculation time(milis)
WYoCRnrbkQe,97
