Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
538.339844,343.337631,0.007000,7
524.453125,575.384521,0.006000,6
505.488281,847.613144,0.007000,7
480.395508,1195.302558,0.007000,7
455.537109,1351.176357,0.019000,19
426.611328,1592.813778,0.006000,6
397.705078,1832.623959,0.009000,9
367.792969,2013.879013,0.005000,5
335.229492,2199.361396,0.005000,5
304.458008,2399.803901,0.005000,5
273.120117,2571.270728,0.007000,7
240.629883,2693.206763,0.006000,6
208.823242,2851.007819,0.005000,5
208.823242,2851.007819,0.005000,5
String tested,Total calculation time(milis)
wBGDMlOfVTJ,116
