Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
586.040039,391.594100,0.008000,8
571.010742,669.828010,0.007000,7
547.895508,1119.643378,0.007000,7
517.622070,1673.495841,0.009000,9
482.939453,2235.988522,0.020000,20
443.251953,2746.944332,0.007000,7
400.332031,3417.467880,0.006000,6
353.100586,3760.064101,0.005000,5
303.413086,3945.919204,0.005000,5
255.078125,4162.786865,0.006000,6
203.618164,3847.992873,0.005000,5
155.527344,3424.624252,0.004000,4
155.527344,3424.624252,0.004000,4
String tested,Total calculation time(milis)
DhXGuTbVcpMA,117
