Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
587.670898,364.643645,0.011000,11
572.709961,651.298690,0.010000,10
549.599609,1118.492031,0.007000,7
519.570312,1639.268494,0.008000,8
483.940430,2189.404655,0.008000,8
445.537109,2877.445889,0.009000,9
400.561523,3310.085082,0.007000,7
351.679688,4135.166931,0.006000,6
301.000977,4304.906249,0.008000,8
247.163086,4157.918715,0.008000,8
196.967773,3896.030211,0.007000,7
196.967773,3896.030211,0.007000,7
String tested,Total calculation time(milis)
Hello world!,111
