Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.006836,446.705031,0.007000,7
663.710938,736.131287,0.009000,9
639.394531,1019.359970,0.008000,8
612.260742,1309.683967,0.006000,6
581.899414,1626.421523,0.013000,13
548.417969,2006.090927,0.007000,7
511.582031,2440.758896,0.006000,6
472.553711,2855.636764,0.006000,6
429.379883,3146.636939,0.006000,6
383.481445,3102.381492,0.006000,6
339.604492,2951.454902,0.007000,7
299.121094,3112.411118,0.005000,5
257.968750,2879.663086,0.005000,5
218.613281,2821.221542,0.005000,5
178.823242,2630.109382,0.006000,6
178.823242,2630.109382,0.006000,6
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,130
