Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.807617,432.791114,0.007000,7
666.323242,736.432624,0.008000,8
641.958008,1057.738471,0.007000,7
613.291016,1423.544216,0.008000,8
580.429688,1691.319275,0.019000,19
548.842773,1981.229186,0.007000,7
511.943359,2252.863979,0.008000,8
471.367188,2467.076111,0.008000,8
432.055664,2690.061355,0.008000,8
393.388672,2997.794247,0.006000,6
350.732422,3058.936214,0.008000,8
308.564453,3372.646236,0.009000,9
262.197266,3088.336086,0.006000,6
218.891602,3010.050750,0.006000,6
176.928711,2943.545699,0.005000,5
176.928711,2943.545699,0.005000,5
String tested,Total calculation time(milis)
hseJNbGPHoBMOd,155
