Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.587891,436.759853,0.015000,15
666.303711,747.616744,0.008000,8
643.657227,1165.970397,0.006000,6
614.726562,1725.608826,0.008000,8
576.630859,2390.504360,0.016000,16
534.990234,3194.433498,0.007000,7
484.887695,3691.393638,0.006000,6
436.762695,4219.451499,0.008000,8
384.223633,4638.557410,0.007000,7
329.643555,4877.851462,0.006000,6
271.767578,4472.656918,0.007000,7
220.341797,4400.566769,0.004000,4
220.341797,4400.566769,0.004000,4
String tested,Total calculation time(milis)
tNqgrmsvaBjKox,130
