Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.043945,513.523459,0.011000,11
711.293945,801.597190,0.009000,9
686.923828,1081.357479,0.008000,8
658.359375,1313.616943,0.010000,10
626.972656,1712.514877,0.017000,17
593.579102,1967.707610,0.010000,10
556.586914,2375.216079,0.007000,7
515.942383,2701.455665,0.008000,8
472.485352,3070.043731,0.007000,7
428.208008,3247.814155,0.006000,6
383.847656,3343.984604,0.005000,5
338.872070,3301.022696,0.006000,6
293.437500,3125.292969,0.008000,8
249.609375,3184.808350,0.005000,5
207.133789,2953.845382,0.003000,3
168.164062,2709.129333,0.006000,6
168.164062,2709.129333,0.006000,6
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,158
