Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.004883,517.724586,0.009000,9
711.621094,815.438461,0.009000,9
685.610352,1282.049346,0.008000,8
654.599609,1792.417812,0.008000,8
616.538086,2507.204604,0.007000,7
573.369141,3443.727016,0.008000,8
522.949219,4034.954453,0.007000,7
469.653320,4595.241141,0.005000,5
414.501953,4970.259762,0.006000,6
355.952148,5060.128570,0.007000,7
298.745117,5194.079566,0.008000,8
242.871094,4937.557602,0.006000,6
242.871094,4937.557602,0.006000,6
String tested,Total calculation time(milis)
VAZnUHwSMoaBxFl,119
