Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.004883,517.724586,0.009000,9
711.489258,815.213752,0.008000,8
686.533203,1147.649288,0.008000,8
658.676758,1475.934577,0.009000,9
625.800781,1965.960312,0.008000,8
589.394531,2219.164658,0.008000,8
552.553711,2665.988326,0.008000,8
512.275391,3155.174160,0.007000,7
465.458984,3144.320583,0.010000,10
421.591797,3541.313839,0.008000,8
374.750977,3654.039550,0.007000,7
326.450195,3498.873496,0.007000,7
280.273438,3585.960388,0.008000,8
233.847656,3173.476791,0.007000,7
192.939453,2921.047115,0.008000,8
155.434570,2528.619742,0.006000,6
155.434570,2528.619742,0.006000,6
String tested,Total calculation time(milis)
VAZnUHwSMoaBxFl,160
