Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
441.435547,275.185299,0.006000,6
429.970703,514.647579,0.005000,5
411.860352,838.873076,0.005000,5
384.848633,1173.316932,0.005000,5
358.237305,1561.394858,0.015000,15
326.279297,1687.523556,0.006000,6
293.261719,1942.974472,0.006000,6
260.327148,2214.199615,0.005000,5
223.764648,2342.516875,0.005000,5
186.865234,2354.235744,0.006000,6
186.865234,2354.235744,0.006000,6
String tested,Total calculation time(milis)
HowAreYou,88
