Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
441.699219,253.362656,0.006000,6
430.375977,498.540282,0.006000,6
412.075195,860.293174,0.006000,6
385.097656,1272.353745,0.006000,6
357.045898,1760.072112,0.015000,15
322.690430,2327.771354,0.005000,5
283.076172,2708.701229,0.005000,5
242.060547,2944.386959,0.005000,5
201.347656,3015.957260,0.007000,7
161.791992,3064.415717,0.005000,5
161.791992,3064.415717,0.005000,5
String tested,Total calculation time(milis)
IjCeByNpm,85
