Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.917969,273.376083,0.005000,5
429.003906,498.128891,0.008000,8
411.049805,782.345176,0.006000,6
385.883789,1041.797042,0.006000,6
360.493164,1453.321242,0.005000,5
329.082031,1772.594833,0.006000,6
295.551758,2039.929938,0.006000,6
261.938477,2410.353637,0.006000,6
223.618164,2260.981154,0.006000,6
186.997070,2488.882804,0.005000,5
152.163086,2391.268325,0.006000,6
152.163086,2391.268325,0.006000,6
String tested,Total calculation time(milis)
tAxrZPOes,84
